relative_path,class,tumor_type,sequence,split,group_id
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 011.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 012.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 013.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 004.jpg
Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Parinaud syndrome - pineal germinoma pineal 006.jpg
"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Pineal germinoma with diffuse subependymal tumor spread pineal , frontal 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Pineal germinoma with diffuse subependymal tumor spread pineal , frontal 001.jpg"
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 005.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 007.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 008.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 009.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 010.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 011.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 012.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 013.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 014.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 015.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 016.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 017.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 018.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 019.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 020.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 021.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Bifocal germinoma pineal 001.jpg
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 006.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 007.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 008.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 009.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 010.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 011.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 012.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 013.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 006.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 007.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 008.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Germinoma pineal , frontal 001.jpg"
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 005.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 007.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Periventricular CNS germinoma ventricle 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma 001.jpg
"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg"
"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma pineal , ventricle 001.jpg"
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 005.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 007.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 008.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 009.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 010.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 011.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 012.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 013.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 014.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 015.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 016.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 017.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 018.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 019.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 020.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 021.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 022.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 023.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 024.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 026.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 028.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 029.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 030.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 031.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 032.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 033.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 034.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
Germ Cell Tumors/T1C+ - Pineal germinoma pineal 035.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1C+ - Pineal germinoma pineal 001.jpg
"Germ Cell Tumors/T1C+ - Pineal germinoma with diffuse subependymal tumor spread pineal , frontal 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1C+ - Pineal germinoma with diffuse subependymal tumor spread pineal , frontal 001.jpg"
Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T2 - Bifocal germinoma pineal 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T2 - Bifocal germinoma pineal 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T2 - Bifocal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T2 - Bifocal germinoma pineal 005.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T2 - Bifocal germinoma pineal 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T2 - Bifocal germinoma pineal 001.jpg
